"disease","overview","symptoms","cautions","medications","prevention","treatment"
"Multiple Sclerosis","Chronic demyelinating CNS disorder with relapsing or progressive course.","vision problems; limb weakness; numbness; coordination issues; fatigue","Regular neurologist follow-up; manage relapses promptly","Disease-modifying therapies; corticosteroids for relapses","No known prevention; healthy lifestyle; avoid smoking","Immunomodulatory therapy; rehabilitation; symptomatic treatment"
"Parkinson’s Disease","Neurodegenerative disorder due to dopamine deficiency affecting movement.","tremor; rigidity; slowness; postural instability","Medication adherence critical; avoid sudden drug withdrawal","Levodopa and dopamine agonists; physiotherapy","No prevention; exercise may help delay progression","Pharmacotherapy with levodopa; deep-brain stimulation for advanced disease"
"Alzheimer’s Disease","Progressive neurodegenerative disorder causing memory loss and cognitive decline.","memory impairment; confusion; behavior changes; loss of daily function","Supervision needed as disease progresses; safety measures at home","Cholinesterase inhibitors; memantine; supportive therapy","Brain-healthy lifestyle; mental activity; cardiovascular risk control","Medication for symptoms; supportive care; caregiver education"
"Depression","Mood disorder with persistent sadness and loss of interest.","low mood; fatigue; sleep changes; poor concentration; suicidal thoughts","Seek help early; suicide risk requires urgent care","Antidepressants; psychotherapy","Stress management; social support; physical activity","Combination of medication and therapy; lifestyle modification; crisis support if suicidal"
"Generalized Anxiety Disorder","Chronic excessive worry and tension affecting daily life.","restlessness; irritability; muscle tension; sleep disturbance","Avoid self-medication with alcohol or sedatives; seek therapy if persistent","Anxiolytics and antidepressants under medical supervision; cognitive behavioral therapy","Stress management; mindfulness; regular exercise; adequate sleep","Psychotherapy and medication tailored to severity; relaxation techniques"
"Bipolar Disorder","Mood disorder with alternating depressive and manic episodes.","periods of euphoria; decreased sleep; racing thoughts; followed by depression","Strict adherence to medication; avoid triggers like sleep deprivation","Mood stabilizers (lithium, valproate) and antipsychotics","Regular sleep schedule; stress control; therapy follow-up","Medication management, psychotherapy, lifestyle structure, hospitalization for severe episodes"
"Schizophrenia","Chronic psychotic disorder with hallucinations and delusions.","hallucinations; delusions; social withdrawal; disorganized speech","Adherence to medication vital; relapse risk if untreated","Antipsychotic medications under psychiatric supervision","Avoid substance abuse; regular follow-up; social support","Long-term antipsychotic therapy; psychosocial rehabilitation; family support"
"Insomnia","Difficulty initiating or maintaining sleep leading to daytime fatigue.","trouble falling asleep; frequent awakening; daytime sleepiness","Avoid chronic sedative use without guidance; address underlying causes","Short-term hypnotics if severe; behavioral therapy for insomnia","Sleep hygiene; limit caffeine; regular schedule; relaxation","Cognitive behavioral therapy for insomnia; short-term medication if required"
"Obesity","Excess body fat accumulation increasing risk for chronic diseases.","high BMI; fatigue; breathlessness; joint pain","Avoid crash diets; gradual, sustainable weight loss recommended","Lifestyle modification; anti-obesity drugs or surgery when indicated","Balanced diet; regular exercise; portion control","Dietary changes, exercise, behavioral therapy, medication or bariatric surgery if severe"
"Metabolic Syndrome","Cluster of conditions increasing heart disease and diabetes risk.","abdominal obesity; hypertension; high blood sugar; dyslipidemia","Early intervention prevents cardiovascular complications","Lifestyle modification; treat each component medically","Healthy diet; physical activity; weight control","Diet, exercise, medications for BP, sugar, cholesterol as needed"
"Type 2 Diabetes","Metabolic disorder with insulin resistance causing high blood sugar.","increased thirst; frequent urination; fatigue; blurred vision","Regular monitoring; control diet and weight; prevent complications","Oral hypoglycemics; insulin if required","Healthy diet; regular exercise; weight management","Diet and medication management; monitor glucose; treat complications promptly"
"Type 1 Diabetes","Autoimmune destruction of pancreatic beta cells causing insulin deficiency.","polyuria; polydipsia; weight loss; fatigue","Requires lifelong insulin; monitor blood sugar regularly","Insulin therapy; glucose monitoring","No proven prevention; early detection in at-risk groups","Insulin therapy; diet and exercise balance; education on hypoglycemia prevention"
"Hypertension (High Blood Pressure)","Chronic elevated arterial pressure increasing risk of heart and kidney disease.","often asymptomatic; headache; dizziness; vision changes","Regular BP checks; adherence to therapy essential","Antihypertensives (ACE inhibitors, beta blockers, etc.)","Salt restriction; exercise; weight control; avoid smoking","Medication adherence; lifestyle modification; regular follow-up"
"Hyperlipidemia (High Cholesterol)","Elevated blood lipids increasing cardiovascular risk.","usually asymptomatic; detected by blood test","Monitor regularly; combine medication with diet changes","Statins; fibrates; diet counseling","Low-fat diet; exercise; avoid trans-fats","Lipid-lowering drugs; dietary therapy; monitoring"
"Coronary Artery Disease","Narrowing of heart arteries leading to angina or heart attack.","chest pain; shortness of breath; sweating; nausea","Emergency if chest pain persists >10 min","Antiplatelets; nitrates; beta blockers; statins","Healthy diet; exercise; avoid smoking; manage diabetes","Medication; angioplasty or bypass surgery; cardiac rehab"
"Heart Failure","Heart’s inability to pump blood effectively.","breathlessness; swelling; fatigue; orthopnea","Monitor weight and fluid intake; seek care for worsening symptoms","Diuretics; ACE inhibitors; beta blockers","Salt restriction; regular follow-up; medication adherence","Medical therapy; device or transplant in severe cases"
"Stroke (Cerebrovascular Accident)","Interruption of blood flow to brain causing neurologic deficits.","sudden weakness; speech difficulty; facial droop; vision loss","Medical emergency—time-dependent treatment","Thrombolytics or antiplatelets per type; rehab","Control BP, diabetes, cholesterol; avoid smoking","Emergency care; rehabilitation; secondary prevention medications"
"Peripheral Arterial Disease","Reduced blood flow to limbs due to atherosclerosis.","leg pain on walking; numbness; cold feet; non-healing ulcers","Avoid smoking; foot care critical","Antiplatelets; statins; exercise therapy","Smoking cessation; exercise; control diabetes","Medical therapy; angioplasty/bypass for severe ischemia"
"Deep Vein Thrombosis (DVT)","Formation of blood clot in deep veins, usually legs.","leg swelling; pain; redness; warmth","Risk of pulmonary embolism—seek urgent care","Anticoagulants; compression stockings","Mobility during travel; hydration; manage risk factors","Anticoagulant therapy; monitor INR; treat underlying cause"
"Pulmonary Embolism","Blockage of lung artery by clot from leg veins (DVT).","sudden breathlessness; chest pain; cough; rapid heart rate","Life-threatening—emergency treatment","Anticoagulants; thrombolytics if massive","Prevent DVT; mobility; compression stockings","Hospital management with anticoagulation and oxygen therapy"
"Anaphylaxis","Severe allergic reaction causing airway and circulatory compromise.","sudden swelling; difficulty breathing; hypotension; hives","Immediate emergency; use epinephrine auto-injector if available","Epinephrine IM; IV fluids; steroids; antihistamines","Avoid known allergens; carry epinephrine auto-injector","Emergency management with epinephrine; monitor for biphasic reaction"
"Epilepsy","Neurological disorder with recurrent seizures.","convulsions; loss of consciousness; confusion; tongue bite","Do not restrain during seizure; ensure medication adherence","Antiepileptic drugs (AEDs) tailored to type","Avoid triggers; regular medication; adequate sleep","Antiepileptic medication; surgery for refractory cases; lifestyle safety education"
"Meningitis","Inflammation of meninges due to infection (bacterial or viral).","fever; headache; neck stiffness; photophobia; altered sensorium","Medical emergency; hospital care required","Antibiotics or antivirals depending on cause","Vaccination (Hib, meningococcal); hygiene; early treatment","Prompt IV antibiotics; supportive care; isolation if bacterial"
"Encephalitis","Inflammation of brain tissue, often viral in origin.","fever; seizures; confusion; headache; altered consciousness","Urgent hospitalization needed","Antivirals (acyclovir for HSV); supportive ICU care","Vaccination (Japanese encephalitis etc.); vector control","Hospital supportive management; antivirals when indicated"
"Hypothyroidism","Deficient thyroid hormone production slowing metabolism.","fatigue; weight gain; cold intolerance; dry skin","Regular thyroid monitoring; avoid abrupt medication changes","Levothyroxine replacement under supervision","Iodine-adequate diet; screening in high-risk groups","Thyroid hormone replacement; lifelong monitoring"
"Hyperthyroidism","Excess thyroid hormone production causing hypermetabolic state.","weight loss; tremor; heat intolerance; palpitations","Monitor cardiac status; avoid abrupt cessation of drugs","Antithyroid medications; beta blockers; radioiodine or surgery","Regular thyroid checks; stress management","Medication or radioiodine ablation; surgery for large goiter"
"Cushing’s Syndrome","Excess cortisol levels from endogenous or exogenous causes.","weight gain (truncal); moon face; hypertension; striae","Identify and treat underlying cause; monitor glucose/BP","Reduce corticosteroid dose if drug-induced; surgery for adrenal/pituitary cause","Avoid unnecessary steroid use; manage stress","Surgical or medical correction of hormone excess; manage complications"
"Addison’s Disease","Adrenal insufficiency causing cortisol/aldosterone deficiency.","fatigue; weight loss; low BP; skin pigmentation","Requires lifelong hormone replacement; stress dosing during illness","Hydrocortisone and fludrocortisone replacement","Prompt treatment of infections; carry steroid alert card","Hormone replacement therapy; crisis management with IV steroids and fluids"
"Preeclampsia","Pregnancy-related hypertension with organ involvement; can progress to eclampsia.","high BP; swelling; headache; visual changes; proteinuria","Medical emergency in pregnancy; monitor closely","Antihypertensives; magnesium sulfate; delivery is definitive","Antenatal care; monitor BP; manage risk factors","Hospital monitoring; control BP; plan timely delivery"
"Ectopic Pregnancy","Implantation of embryo outside uterus, usually in fallopian tube.","abdominal pain; missed period; vaginal bleeding; dizziness","Life-threatening rupture possible; emergency evaluation needed","Methotrexate (medical) or surgical management","Early pregnancy scan; treat pelvic infections","Medical or surgical removal of ectopic tissue; supportive care"
"Breast Cancer","Malignant tumor of breast tissue; wide spectrum from localized to metastatic disease.","breast lump; skin dimpling; nipple discharge; breast pain","Early detection via screening improves outcomes; seek evaluation for new lumps","Surgery, chemotherapy, radiotherapy, targeted therapy depending on stage","Regular screening (mammography) as recommended; self-awareness; reduce modifiable risks","Multimodal treatment by oncology team: surgery ± chemo/radiation/targeted therapy per guidelines"
"Lung Cancer","Malignancy of lung tissue with smoking as major risk factor.","persistent cough; hemoptysis; weight loss; breathlessness","Urgent evaluation for persistent respiratory symptoms; smoking cessation crucial","Surgery, chemotherapy, targeted therapy, immunotherapy depending on type and stage","Avoid smoking; reduce occupational exposures; screening in high-risk groups","Stage-based therapy: surgery, chemo, targeted drugs, immunotherapy; palliative care when needed"
"Colorectal Cancer","Cancer of colon or rectum often preceded by polyps.","change in bowel habits; rectal bleeding; weight loss; abdominal pain","Screening reduces mortality; seek care for persistent bleeding or changes","Surgery, chemotherapy, targeted treatments; radiotherapy for rectal tumors","Regular screening (colonoscopy) per guidelines; healthy diet, activity","Surgical resection with adjuvant therapy as indicated; surveillance after treatment"
"Prostate Cancer","Common cancer in older men, often slow-growing.","urinary symptoms; hematuria; sometimes asymptomatic","Screening debated—discuss PSA testing with clinician","Surgery, radiation, hormonal therapy, active surveillance for low-risk cases","Healthy lifestyle; informed decision about screening","Active surveillance for low-grade disease; radical therapy for higher-risk disease"
"Leukemia","Malignancy of blood-forming tissues causing abnormal white cells.","fatigue; fever; recurrent infections; bleeding","Urgent hematology referral; risk of rapid deterioration","Chemotherapy, targeted therapies, possible bone marrow transplant","No specific prevention; monitor high-risk patients","Systemic chemotherapy; targeted agents; hematopoietic stem cell transplant in selected cases"
"Lymphoma","Cancer of the lymphatic system (Hodgkin/non-Hodgkin varieties).","painless lymphadenopathy; fever; night sweats; weight loss","Prompt oncologic assessment needed for persistent lymph node enlargement","Chemotherapy, immunotherapy, radiotherapy depending on type/stage","No routine prevention; vaccination where relevant","Combination chemo/immunotherapy ± radiotherapy; long-term follow-up"
"Skin Cancer (Melanoma)","Malignant tumor of melanocytes; can metastasize quickly.","changing mole; irregular border; color variation; bleeding","Early detection critical; avoid tanning; seek dermatology review of suspicious lesions","Surgical excision; immunotherapy/targeted therapy for advanced disease","Sun protection (SPF, clothing), avoid tanning beds; regular skin checks","Wide local excision for localized disease; systemic therapy for metastatic melanoma"
"Basal Cell Carcinoma","Common skin cancer that rarely metastasizes but causes local damage.","pearly nodule; ulceration; bleeding; slow-growing lesion","Early removal prevents local tissue loss","Surgical excision, Mohs surgery, topical therapies for superficial lesions","Sun protection and skin surveillance","Surgical removal; topical or destructive methods for small lesions; follow-up"
"Melanoma","(Listed separately to emphasize seriousness) Pigmented malignant skin tumor with metastatic potential.","irregular, changing pigmented lesion","Urgent dermatology referral for suspicious lesions","Surgical excision; immunotherapy or targeted agents for advanced disease","Sun protection; regular skin checks","Early excision; adjuvant or systemic therapy when indicated"
"Pneumothorax","Air in pleural space causing lung collapse; spontaneous or traumatic.","sudden unilateral chest pain; shortness of breath","Large or tension pneumothorax is an emergency","Observation for small pneumothorax; needle aspiration or chest tube for larger","Avoid high-risk behaviors (deep sea diving, smoking) where applicable","Oxygen and observation for small; needle decompression/chest tube for larger; surgery for recurrent cases"
"Pneumothorax (Secondary)","Pneumothorax occurring on background lung disease (eg COPD).","sudden breathlessness; pleuritic chest pain","Higher risk of severe respiratory compromise","Hospital management often required","Optimize underlying lung disease; smoking cessation","Chest tube drainage; surgical pleurodesis in recurrent cases"
"Pleurisy/Pleuritis","Inflammation of pleura causing sharp chest pain with breathing.","sharp pleuritic chest pain; cough; breathlessness","Evaluate for underlying causes (infection, PE, autoimmune)","Treat underlying cause; analgesics; sometimes steroids","Avoid respiratory infections; seek care for persistent chest pain","Treat underlying disease (antibiotics for infection), analgesia, pleural procedures if needed"
"Pneumoconiosis","Occupational lung disease due to inhaled dust (eg silica, coal).","progressive breathlessness; chronic cough; reduced exercise tolerance","Prevent exposure; occupational health surveillance","Supportive care; prevent further exposure","Workplace dust control; PPE; smoking cessation","Avoid exposure; symptomatic management; monitor for complications"
"Pneumothorax (Spontaneous Primary)","Spontaneous collapse of lung in otherwise healthy individuals (often tall thin young men).","sudden chest pain; dyspnea","Recurrence risk; smoking increases risk","Observation or intervention depending on size and symptoms","Avoid smoking; seek care for sudden chest pain","Conservative management for small, intervention for larger cases; surgical repair if recurrent"
"Pulmonary Fibrosis","Scarring of lung tissue causing progressive breathlessness.","progressive dyspnea; dry cough; fatigue","Specialist referral needed; progressive disease with poor prognosis","Antifibrotic drugs in selected cases; oxygen therapy","Avoid smoking; manage exposures; vaccination","Antifibrotic therapy, pulmonary rehab, oxygen; transplant in select patients"
"Pneumothorax (Traumatic)","Air enters pleural space due to chest trauma.","chest pain; breathlessness; signs of trauma","Potentially life-threatening; urgent management","Chest tube drainage; surgical repair if needed","Use of seatbelts, protective equipment in high-risk jobs/sports","Emergency chest decompression/chest tube; surgery for major trauma"
"Acute Abdomen (General)","Severe abdominal pain from multiple causes requiring urgent evaluation.","severe abdominal pain; vomiting; fever; guarding","Urgent surgical or medical evaluation required","Treat cause-specific (antibiotics, surgery, supportive care)","Early medical review for severe pain","Diagnosis-driven care—may require surgery (eg perforation, appendicitis)"
"Appendicitis (Reinforced)","Inflammation of appendix needing prompt evaluation and often surgery.","periumbilical pain migrating to right lower quadrant; nausea; fever","Risk of perforation—urgent surgical assessment","Pre-op antibiotics; analgesia","No prevention; early recognition key","Appendectomy (laparoscopic/open) and antibiotics"
"Hernia (Reinforced)","Protrusion of organ through weakened abdominal wall; watch for strangulation.","visible bulge; pain with lifting; irreducible mass in strangulation","Seek urgent care if irreducible and painful","Surgical repair is definitive","Avoid heavy lifting; smoking cessation to improve healing","Elective or emergency surgical repair depending on symptoms/strangulation"
"Peritonitis","Inflammation of peritoneum commonly from perforation or infection.","severe abdominal pain; guarding; fever; distension","Life-threatening—urgent surgery often required","Antibiotics and surgical source control","Early treatment of intra-abdominal infections; hygiene in procedures","Emergency laparotomy/laparascopy for source control + antibiotics"
"Pneumonia (Aspiration)","Lung infection due to inhaled gastric contents or oropharyngeal secretions.","fever; cough; foul sputum; breathlessness","At-risk patients (reduced consciousness) need prevention measures","Antibiotics with anaerobic coverage when indicated","Swallowing assessment in high-risk patients; positioning","Antibiotic therapy, supportive care, address swallowing dysfunction"
"Otitis Media with Effusion","Fluid in middle ear without acute infection causing hearing loss.","hearing difficulties; aural fullness; often no fever","Evaluate in children—can affect speech development","Observation or grommet insertion if persistent","Treat upper respiratory infections promptly; avoid smoke exposure","Watchful waiting; ENT referral for persistent effusion and hearing loss"
"Acute Bronchiolitis","Viral lower respiratory tract infection in infants (eg RSV).","wheezing; cough; nasal congestion; difficulty feeding","Young infants may need monitoring for respiratory failure","Supportive care; oxygen if hypoxic","Hand hygiene; avoid sick contacts; breastfeeding","Supportive therapy; oxygen and hydration; hospitalization if severe"
"Respiratory Syncytial Virus (RSV) Infection","Common cause of bronchiolitis and pneumonia in infants and elderly.","cough; wheeze; fever; breathing difficulty","Monitor infants closely; high-risk neonates may need prophylaxis","Supportive care; prophylactic monoclonal antibodies for high-risk infants","Hand hygiene; avoid exposure of infants to sick contacts","Supportive care; oxygen and hydration; monoclonal prophylaxis in selected infants"
"Otitis Interna (Labyrinthitis)","Inflammation of inner ear causing vertigo and hearing changes.","vertigo; hearing loss; nausea; imbalance","Seek ENT assessment for severe vestibular symptoms","Symptomatic therapy for vertigo; treat underlying infection if present","Avoid head injury; seek prompt care for severe vertigo","Vestibular suppressants for acute symptoms; rehabilitation; treat cause"
"Carpal Tunnel Syndrome","Median nerve compression at wrist causing hand symptoms.","numbness/tingling in thumb-index-middle fingers; night symptoms; weakness","Early wrist splinting can help; surgery for severe weakness","Wrist splints; NSAIDs; steroid injection; surgical decompression","Ergonomic adjustments; wrist exercises","Conservative measures; surgical release for refractory cases"
"Rotator Cuff Tear","Tear of shoulder tendons causing pain and limited movement.","shoulder pain; weakness raising arm; night pain","Seek specialist if loss of function or severe pain","Physiotherapy; NSAIDs; steroid injection; surgery for full-thickness tears","Avoid repetitive overhead strain; strengthen shoulder muscles","Physiotherapy; arthroscopic repair for significant tears"
"Menstrual Disorders (Dysmenorrhea)","Painful or abnormal menstrual bleeding affecting quality of life.","cramping pelvic pain; heavy bleeding; irregular cycles","Evaluate heavy bleeding to exclude serious causes","NSAIDs for pain; hormonal contraceptives for cycle control","Healthy lifestyle; track cycles; seek care if heavy or irregular bleeding","Analgesics, hormonal therapy, investigate and treat underlying pathology"
"Endometriosis","Ectopic growth of endometrial tissue causing pelvic pain and infertility.","severe dysmenorrhea; dyspareunia; infertility; pelvic pain","Specialist management for pain and fertility issues","Hormonal therapies; analgesics; surgical excision when needed","Early evaluation of pelvic pain; fertility planning","Medical suppression or laparoscopic excision; multidisciplinary care for fertility"
"Pancreatic Cancer","Malignant tumor arising from pancreatic tissue, often diagnosed late due to vague symptoms; frequently aggressive with poor prognosis.","progressive weight loss; persistent upper abdominal/back pain; jaundice; anorexia; new-onset diabetes in some cases","Early specialist referral for suspicious symptoms; rapid evaluation for painless jaundice or rapidly worsening pain","Multimodal oncology therapies (surgery, chemotherapy, radiotherapy) determined by stage; symptom-directed analgesia","Smoking cessation; maintain healthy weight; manage chronic pancreatitis risk factors","Stage-based care: surgical resection for resectable disease, systemic chemotherapy for advanced stages, palliative care for symptom control"
"Ovarian Cancer","Malignancy of ovarian tissue, often presents late with non-specific symptoms, risk increases with age and certain genetic factors.","abdominal bloating; early satiety; pelvic pain; urinary frequency; unexplained weight changes","Early gynecologic evaluation for persistent bloating or pelvic symptoms; family history may warrant genetic counseling","Surgery (debulking), platinum-based chemotherapy, targeted therapies for selected subtypes","Risk-reducing strategies include oral contraceptives (in some cases) and surveillance for high-risk individuals","Surgical staging and cytoreduction combined with chemotherapy; maintenance targeted therapy for some patients"
"Testicular Cancer","Relatively uncommon malignancy in young men, often highly treatable when detected early.","painless testicular mass or swelling; heaviness; dull ache in scrotum/abdomen","Urgent urology assessment for any testicular lumps; self-examination awareness recommended","Orchiectomy is diagnostic and therapeutic; chemotherapy and radiotherapy for advanced disease","Self-examination awareness; prompt evaluation of lumps","Surgical removal (radical inguinal orchiectomy) followed by stage-adapted chemo/radiotherapy and surveillance"
"Bladder Cancer","Malignancy originating from urothelial cells; often presents with visible blood in urine.","painless hematuria; urinary frequency; urgency; pelvic pain in advanced disease","Any visible blood in urine requires urgent evaluation; smoking is a major risk factor","Surgery, intravesical therapies (for superficial disease), systemic therapy for advanced disease","Smoking cessation; avoid occupational exposures to carcinogens; hydration","Transurethral resection for superficial tumors; cystectomy for invasive disease; systemic chemo/immunotherapy as indicated"
"Kidney (Renal) Cancer","Malignant tumor of the renal parenchyma; may be incidental on imaging or present with hematuria.","blood in urine; flank pain; palpable mass; unexplained weight loss","Prompt imaging if hematuria occurs; manage cardiovascular risk factors","Surgical resection (partial or radical nephrectomy); targeted agents and immunotherapy for advanced disease","Avoid smoking; control hypertension; maintain healthy weight","Nephron-sparing surgery when possible; systemic therapy for metastatic disease; surveillance for small renal masses"
"Pancreatic Neuroendocrine Tumor (pNET)","A subset of pancreatic tumors arising from hormone-secreting cells, variable behavior from indolent to aggressive.","hormone-related symptoms if functional (hypoglycemia, gastrin-related ulcers) or non-specific abdominal pain and weight loss","Specialist endocrine-oncology evaluation required; biochemical testing for hormonal syndromes","Surgery for localized disease; somatostatin analogues, targeted therapy or peptide receptor radionuclide therapy for advanced disease","Regular monitoring in genetic syndromes; smoking cessation","Surgical resection for localized tumors; medical and targeted therapies for metastatic or functional tumors"
"Colorectal Polyps (Precancerous)","Mucosal growths in the colon/rectum; some evolve into cancer over years if left untreated.","often asymptomatic; may cause occult or visible bleeding; change in bowel habits","Screening and timely removal reduces colorectal cancer risk","Polypectomy during colonoscopy; surveillance intervals based on pathology","Regular colonoscopic screening per guidelines; healthy diet and exercise","Endoscopic polypectomy for most polyps; surgical resection for large or invasive lesions"
"Esophageal Cancer","Malignancy of the esophagus associated with dysphagia and weight loss; two main histologies: squamous and adenocarcinoma.","progressive difficulty swallowing solids then liquids; weight loss; odynophagia; hoarseness in advanced cases","Urgent evaluation for progressive dysphagia; consider endoscopic assessment and biopsy","Multimodal therapy: surgery, chemoradiation, stenting for palliation","Avoid tobacco and excessive alcohol; manage reflux disease and Barrett’s esophagus","Curative-intent surgery +/- neoadjuvant chemoradiation for localized disease; palliative stenting or systemic therapy for advanced disease"
"Thyroid Cancer","Malignancy of thyroid tissue; many subtypes, often detected as a thyroid nodule with generally favorable prognosis for common forms.","painless thyroid nodule; hoarseness, difficulty swallowing if large or locally invasive","Fine-needle aspiration for suspicious nodules; urgent evaluation for rapidly growing nodules","Surgical thyroidectomy, radioactive iodine for some subtypes, thyroid hormone suppression therapy","Avoid unnecessary radiation exposure to neck; surveillance of nodules","Surgical removal guided by subtype; adjuvant radioactive iodine for certain differentiated cancers; long-term endocrinology follow-up"
"Hyperparathyroidism","Excess parathyroid hormone causing hypercalcemia with multi-system effects, primary or secondary forms.","fatigue; polyuria; kidney stones; bone pain; neurocognitive symptoms","Monitor calcium; seek specialist evaluation for persistent hypercalcemia","Surgical removal for primary disease; medical management for secondary causes","Address vitamin D deficiency; monitor calcium and kidney function","Parathyroidectomy for selected patients; medical optimization and monitoring for non-surgical candidates"
"Pheochromocytoma","Rare catecholamine-secreting adrenal tumor causing episodic hypertension and sympathetic symptoms.","paroxysmal headache; sweating; palpitations; episodic hypertension; anxiety-like symptoms","Preoperative biochemical diagnosis critical; control blood pressure before surgery","Adrenalectomy is treatment of choice; pre-op alpha-blockade to prevent hypertensive crisis","Genetic counseling for familial syndromes; surveillance in at-risk individuals","Surgical removal with careful pre-op preparation; lifelong follow-up for recurrence in some cases"
"Adrenal Insufficiency (Secondary)","Inadequate cortisol production due to pituitary or exogenous steroid suppression, causing fatigue and hypotension.","fatigue; weakness; weight loss; low blood pressure; salt craving in primary forms","Risk of adrenal crisis during stress or infection—carry alert and seek urgent care","Glucocorticoid replacement therapy; treat underlying pituitary disease when possible","Avoid abrupt steroid withdrawal; medical alert identification","Lifelong hormone replacement for chronic cases; emergency IV steroids for adrenal crisis"
"Hemophilia A","Inherited bleeding disorder due to factor VIII deficiency causing prolonged bleeding and joint hemorrhages.","excessive bleeding after injury; joint swelling and pain from hemarthroses; easy bruising","Prompt specialist hematology care for bleeding; avoid certain medications that increase bleeding risk","Replacement of missing clotting factor concentrates (on-demand or prophylactic) under hematology guidance","Genetic counseling; avoid NSAIDs and anticoagulants unless advised","Factor replacement therapy for bleeding and prophylaxis; physiotherapy for joint management"
"von Willebrand Disease","Common inherited bleeding disorder due to quantitative/qualitative vWF deficiency causing mucocutaneous bleeding.","nosebleeds; heavy menstrual bleeding; easy bruising; prolonged bleeding after procedures","Pre-procedural planning with hematology for surgeries or dental work","Desmopressin or vWF concentrates for significant bleeding as guided by specialist","Avoid medications increasing bleeding risk; appropriate hemostatic planning for procedures","Desmopressin for responsive patients; vWF concentrate infusion for severe cases; supportive care"
"Thrombophilia (Inherited)","Genetic predisposition to abnormal blood clotting increasing risk for DVT/PE, examples include Factor V Leiden.","recurrent DVT or PE; unexplained thrombosis especially at young age","Family screening and specialist advice for anticoagulation decisions","Anticoagulation for acute events and in some high-risk situations","Avoid prolonged immobility; manage other clotting risks (smoking, obesity)","Anticoagulant therapy for thrombotic events; individualized long-term prophylaxis decisions"
"Leptospirosis","Bacterial zoonosis from *Leptospira* causing febrile illness, can progress to multi-organ involvement.","fever; myalgia (notably calf pain); conjunctival suffusion; headache; jaundice in severe cases","Consider exposure history (floodwater, animals); early antibiotics reduce severity","Antibiotics (doxycycline/penicillin) when indicated; supportive care for organ dysfunction","Avoid contaminated water; protective measures for high-risk occupations","Early antibiotic therapy and supportive management for severe renal/hepatic involvement"
"Brucellosis","Zoonotic bacterial infection acquired from unpasteurized dairy or contact with infected animals causing chronic systemic symptoms.","fever, sweats; arthralgia; malaise; hepatosplenomegaly; chronic fatigue","Consider occupation and dietary exposures; prolonged antibiotic courses often needed","Combination antibiotic therapy (doxycycline + rifampicin or aminoglycoside) under specialist guidance","Avoid unpasteurized dairy products; occupational precautions for animal handlers","Prolonged combination antibiotic regimens and monitoring for relapse"
"Schistosomiasis","Parasitic infection acquired from freshwater snails causing urinary or intestinal disease with chronic complications.","haematuria (urinary species); abdominal pain; diarrhoea; hepatosplenomegaly in chronic disease","Consider travel and freshwater exposure history; treat early to avoid chronic complications","Praziquantel is the mainstay antiparasitic treatment","Avoid swimming in contaminated freshwater in endemic areas; public health control of snails","Antiparasitic therapy (praziquantel) and management of chronic complications such as bladder pathology"
"Giardiasis","Protozoal intestinal infection causing prolonged diarrhoea and malabsorption in some cases.","watery foul-smelling diarrhoea; bloating; abdominal cramps; weight loss; steatorrhea","Consider recent travel or contaminated water exposure; treat persistent cases to prevent malabsorption","Antiparasitic agents (metronidazole or tinidazole) when indicated","Safe drinking water; boil/treat water when traveling; good hygiene","Antiparasitic therapy plus rehydration and nutritional support for chronic cases"
"Strongyloidiasis","Soil-transmitted helminth infection that can persist and cause severe disease in immunosuppressed hosts.","abdominal pain; diarrhoea; skin rash; cough; potential hyperinfection in immunosuppressed","Be vigilant in immunosuppressed patients or migrants from endemic areas; treat before immunosuppression when possible","Ivermectin is main treatment; specialist advice for complicated cases","Sanitation and wearing footwear in endemic regions; screening in migrants","Anthelmintic therapy with ivermectin; manage hyperinfection aggressively with supportive care"
"Leukocytoclastic Vasculitis","Small vessel inflammatory condition often post-infectious or drug-related causing palpable purpura and organ symptoms.","palpable purpura on lower limbs; joint pain; abdominal pain; hematuria if renal involvement","Identify and stop offending drugs; investigate systemic involvement","Treat underlying cause; corticosteroids or immunosuppressants for severe systemic disease","Avoid triggers and manage infections promptly","Supportive care for cutaneous disease; immunosuppression for systemic vasculitis depending on severity"
"Scleroderma (Systemic Sclerosis)","Autoimmune connective tissue disease characterized by skin thickening and multi-organ fibrosis.","skin tightness; Raynaud phenomenon; dysphagia; interstitial lung disease; renal crisis in severe cases","Requires multidisciplinary care; monitor for pulmonary and renal complications","Immunosuppressive agents, vasoactive drugs for Raynaud, organ-specific therapy","Avoid smoking; early screening for pulmonary hypertension and ILD","Organ-targeted therapy (immunosuppression for lung disease), vascular agents for digital ischemia, supportive multidisciplinary care"
"Myasthenia Gravis","Autoimmune neuromuscular junction disorder causing fluctuating muscle weakness worsened by exertion.","ptosis; diplopia; fluctuating limb weakness; bulbar symptoms (dysarthria, dysphagia)","Risk of myasthenic crisis with respiratory compromise—rapid specialist care needed","Acetylcholinesterase inhibitors, immunosuppressants, and thymectomy in selected patients","Avoid medications that worsen neuromuscular transmission; infection prevention","Symptomatic therapy (pyridostigmine), immunosuppression for severe disease, thymectomy for thymoma-associated or refractory cases"
