Disease,Overview,Symptoms,Causes,Treatments,Medications
Typhoid Fever,"A systemic bacterial infection characterized by prolonged fever and abdominal symptoms; common in areas with poor sanitation.","Sustained high fever, Abdominal pain, Constipation or diarrhea, Headache, Relative bradycardia","Ingestion of Salmonella typhi via contaminated food/water, poor sanitation","Prompt diagnosis with blood/stool culture where possible, appropriate antibiotic therapy, supportive care and hydration","Antibiotics guided by local resistance patterns (e.g., ceftriaxone, azithromycin) per guidelines"
Cholera,"An acute diarrheal illness that can cause severe dehydration and death if untreated; caused by Vibrio cholerae.","Watery diarrhea (rice-water stools), Vomiting, Rapid dehydration, Hypotension, Electrolyte imbalance","Ingestion of contaminated water or food with Vibrio cholerae, poor sanitation and overcrowding","Rapid rehydration with oral rehydration salts (ORS) or IV fluids for severe dehydration, antibiotics in severe cases, public health measures for prevention","ORS for all; antibiotics (single-dose azithromycin or doxycycline) in severe cases per local guidance"
Leptospirosis,"A bacterial zoonotic infection acquired from contact with animal urine contaminated water/soil; can cause systemic illness.","High fever, Myalgia (notably calf muscles), Headache, Jaundice in severe cases, Conjunctival suffusion","Exposure to contaminated water/soil or animal urine (rodents, livestock), occupational and recreational risks","Early diagnosis and antibiotic therapy, supportive care for complications (renal failure, pulmonary hemorrhage)","Doxycycline for mild cases, IV penicillin or ceftriaxone for severe disease per clinical judgement"
Filariasis,"A parasitic infection transmitted by mosquitoes causing lymphatic dysfunction and chronic swelling (elephantiasis) in endemic areas.","Fever in acute phase, Lymphangitis, Chronic lymphedema with swelling of limbs/genitalia, recurrent infections","Nematode parasites (Wuchereria bancrofti, Brugia spp.) transmitted by mosquitoes","Mass drug administration in endemic areas for control, antiparasitic therapy (DEC, ivermectin) and management of lymphedema with hygiene and physiotherapy","Antiparasitics like Diethylcarbamazine (DEC) or ivermectin in combination with albendazole in mass treatment programs; management of lymphedema conservatively"
Scabies,"A contagious skin infestation by the mite Sarcoptes scabiei causing intense itching, especially at night.","Intense pruritus, Burrows or papular rash in interdigital spaces, wrist, waistline, genitalia","Close personal contact or shared bedding/clothing with an infected person spreads mites","Topical scabicidal agents applied to entire body, treat close contacts and decontaminate clothing/bed linen, symptomatic itch control","Topical permethrin 5% cream is first-line; oral ivermectin for outbreaks or crusted scabies in specialist settings"
Head Lice (Pediculosis) ,"Infestation of scalp hair by lice causing itching and visible nits; common in school-aged children.","Itching of scalp, Visible nits (eggs) on hair shafts, Scratch marks or secondary infection from scratching","Direct head-to-head contact or sharing of contaminated items (hats, combs)","Topical pediculicides applied per instructions, repeat treatment to kill newly hatched nits, combing to remove nits, treat household contacts if necessary","Permethrin 1% lotion or pyrethrin-based shampoos; oral ivermectin in resistant or outbreak situations"
Food Poisoning,"Acute gastrointestinal illness caused by ingestion of contaminated food or toxins leading to rapid onset symptoms.","Nausea, Vomiting, Abdominal cramps, Diarrhea, Fever (sometimes), Dehydration risk","Contaminated food with bacteria (Salmonella, E. coli), toxins (Staphylococcus aureus), or viruses; improper storage or cooking","Supportive care with rehydration, electrolyte replacement, antibiotics only when indicated by pathogen and severity","Oral rehydration solutions; antibiotics (e.g., azithromycin) only for specific bacterial pathogens when indicated"
Gallstones (Cholelithiasis),"Solid deposits (stones) forming in the gallbladder that can cause biliary colic or complications like cholecystitis.","Biliary colic: episodic right upper quadrant pain often after fatty meals, nausea, vomiting; jaundice if obstructive","Cholesterol supersaturation of bile, gallbladder stasis, risk factors: female sex, obesity, rapid weight loss, age","Asymptomatic stones often observed; symptomatic stones: surgical removal of gallbladder (cholecystectomy), manage complications like cholecystitis, ERCP for common bile duct stones","Analgesics for pain; elective laparoscopic cholecystectomy for symptomatic disease; ursodeoxycholic acid in select non-surgical candidates to dissolve cholesterol stones (limited use)"
Pancreatitis,"Inflammation of the pancreas presenting acutely with severe abdominal pain; can be mild or life-threatening.","Severe epigastric pain radiating to the back, Nausea, Vomiting, Fever, Elevated pancreatic enzymes (amylase/lipase)","Gallstones (common cause), alcohol excess, hypertriglyceridemia, medications, ERCP-related injury","Hospitalize for fluid resuscitation, pain control, nil per os initially, treat underlying cause (remove gallstones), nutritional support","Analgesics (opioids for severe pain), treat cause (e.g., cholecystectomy for gallstone pancreatitis), manage complications in ICU"
Lung Cancer,"Malignant tumor of the lung often linked to tobacco exposure; presents late with respiratory and systemic symptoms.","Persistent cough, Hemoptysis, Chest pain, Breathlessness, Weight loss, Recurrent infections","Tobacco smoking (primary risk factor), occupational exposures (asbestos), air pollution, genetic factors","Staging with imaging and biopsy; treatment options depend on stage: surgery, radiotherapy, chemotherapy, targeted therapy and immunotherapy for selected molecular subtypes","Surgical resection for early stage, platinum-based chemotherapy, targeted agents (EGFR, ALK inhibitors) for mutation-positive cancers, immune checkpoint inhibitors where indicated"
Pharyngitis (Sore Throat),"Inflammation of the pharynx commonly causing sore throat; viral causes are most common but bacterial (strep throat) needs specific treatment.","Sore throat, Painful swallowing, Fever (in bacterial cases), Tonsillar exudates in some, tender cervical lymphadenopathy","Viral infections (most common: rhinovirus, adenovirus), Group A Streptococcus (bacterial), irritants","Supportive care for viral pharyngitis (hydration, analgesics); antibiotics for confirmed streptococcal pharyngitis to prevent complications","Analgesics (paracetamol, ibuprofen); antibiotics (penicillin/amoxicillin) for confirmed Group A Streptococcus"
Mouth Ulcers (Aphthous stomatitis), "Small painful ulcers of the oral mucosa typically self-limited but recurrent in some individuals.","Painful round/oval ulcers with a yellowish base and red halo, difficulty eating/speaking","Minor trauma, stress, nutritional deficiencies (B12, folate), aphthous predisposition, systemic diseases (e.g., IBD)","Topical protective agents, topical corticosteroids for severe recurrent ulcers, address nutritional deficiencies, maintain oral hygiene","Topical corticosteroid gels (triamcinolone), topical analgesics, treat deficiencies (vitamin B12/folate) if present"
Tooth Decay (Dental Caries),"Demineralization of tooth enamel and dentin due to bacterial acid production leading to cavities and toothache if untreated.","Tooth sensitivity, Pain with chewing, Visible cavitation or dark spots, Bad breath","Plaque bacteria metabolizing sugars to acids, poor oral hygiene, frequent sugar intake, lack of fluoride","Dental restoration (fillings), root canal treatment for deep decay, extraction for non-restorable teeth, preventive oral hygiene and fluoride","Local dental treatment: fillings (amalgam/composite), fluoride varnish for prevention; antibiotics only if secondary infection present"
Gingivitis (Gum Disease),"Inflammation of the gums due to plaque accumulation; reversible in early stages with good oral hygiene.","Red, swollen, and bleeding gums especially on brushing, bad breath","Dental plaque biofilm buildup, poor oral hygiene, smoking, certain medications, systemic conditions like diabetes","Improved oral hygiene with brushing and flossing, professional dental cleaning (scaling), treat contributing factors","Professional dental cleaning; topical antiseptics (chlorhexidine) for short-term adjunct; antibiotics only if acute spreading infection"
Epilepsy,"A neurological disorder characterized by recurrent unprovoked seizures due to abnormal brain electrical activity.","Seizure episodes (focal or generalized), transient loss of awareness, convulsions, confusion post-ictal","Genetic predisposition, structural brain lesions, infections, head trauma, metabolic causes","Diagnosis with EEG and neuroimaging, antiseizure medication tailored to seizure type, surgery for refractory focal epilepsy, lifestyle adjustments and safety counseling","Antiseizure drugs: Valproate, Carbamazepine, Levetiracetam, Lamotrigine depending on seizure type"
Anxiety Disorder,"A group of mental health disorders characterized by excessive worry, fear, or nervousness interfering with daily function.","Excessive worry, Restlessness, Palpitations, Shortness of breath, Sleep disturbance, Muscle tension","Genetic vulnerability, stress, neurochemical imbalances, life events, medical conditions","Psychological therapies (CBT), lifestyle measures, relaxation techniques, pharmacotherapy for moderate–severe cases","SSRIs (sertraline, escitalopram), SNRIs, short-term benzodiazepines for acute severe anxiety under supervision"
Depression,"A mood disorder with persistent low mood, loss of interest, and functional impairment; can be recurrent or chronic.","Persistent sadness, Loss of interest, Changes in appetite or sleep, Fatigue, Suicidal thoughts in severe cases","Genetic predisposition, psychosocial stressors, neurotransmitter changes, chronic medical illness","Psychotherapy (CBT, interpersonal therapy), antidepressant medication for moderate–severe cases, lifestyle interventions and social support","Antidepressants: SSRIs (sertraline, fluoxetine), SNRIs, psychotherapy; monitor for response and suicidality"
Insomnia,"A common sleep disorder where individuals have difficulty falling asleep, staying asleep, or waking up too early and not being able to go back to sleep.","Difficulty falling asleep, Frequent awakenings, Daytime fatigue, Irritability, Poor concentration","Stress, Anxiety, Depression, Poor sleep habits, Caffeine or alcohol, Certain medications","Sleep hygiene improvement, Cognitive behavioral therapy for insomnia (CBT-I), Relaxation training, Treat underlying cause","Melatonin, Zolpidem, Eszopiclone, Trazodone (under supervision)"
Schizophrenia,"A chronic brain disorder that affects a person's ability to think clearly, manage emotions, make decisions, and relate to others.","Hallucinations, Delusions, Disorganized thinking, Social withdrawal, Reduced emotional expression","Genetic predisposition, Dopamine imbalance, Brain structure abnormalities, Environmental stressors","Psychosocial therapy, Cognitive behavioral therapy, Family support, Vocational rehabilitation, Long-term medication adherence","Antipsychotics (Risperidone, Olanzapine, Clozapine, Aripiprazole)"
Bipolar Disorder,"A mood disorder characterized by episodes of mania (elevated mood, energy) alternating with depression (low mood, hopelessness).","Mood swings, Increased energy (mania), Decreased need for sleep, Depression, Irritability, Impulsivity","Genetic factors, Neurochemical imbalances, Stressful life events, Sleep deprivation","Mood stabilization therapy, Psychotherapy, Lifestyle regulation (sleep, routine), Avoid substance use","Lithium, Valproate, Lamotrigine, Atypical antipsychotics (Quetiapine, Olanzapine)"
PTSD (Post-Traumatic Stress Disorder),"A mental health condition triggered by experiencing or witnessing a traumatic event.","Flashbacks, Nightmares, Severe anxiety, Avoidance of reminders, Hypervigilance, Sleep disturbances","Exposure to traumatic events (e.g., accidents, assault, war), Genetic susceptibility, Lack of social support","Trauma-focused therapy (CBT, EMDR), Support groups, Relaxation techniques, Medication when needed","SSRIs (Sertraline, Paroxetine), Prazosin (for nightmares), Antianxiety medications (as needed)"
Obsessive-Compulsive Disorder (OCD),"A mental disorder involving recurrent, intrusive thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety.","Repetitive hand washing, Checking, Counting, Intrusive thoughts, Anxiety when rituals not performed","Genetic factors, Serotonin dysregulation, Stressful life events, Brain circuitry abnormalities","Cognitive-behavioral therapy (exposure and response prevention), Psychotherapy, Supportive care","SSRIs (Fluoxetine, Sertraline), Clomipramine"
Panic Disorder,"A type of anxiety disorder with recurrent unexpected panic attacks and fear of future attacks.","Sudden intense fear, Palpitations, Shortness of breath, Chest pain, Dizziness, Trembling","Genetic predisposition, Stress, Imbalance of neurotransmitters (serotonin, norepinephrine), Caffeine or stimulant use","Cognitive behavioral therapy, Breathing and relaxation techniques, Gradual exposure therapy","SSRIs (Paroxetine, Sertraline), Benzodiazepines (short-term use), Beta-blockers (for physical symptoms)"
Autism Spectrum Disorder,"A developmental disorder affecting communication, social interaction, and behavior; varies in severity.","Difficulty with communication, Repetitive behaviors, Social withdrawal, Sensory sensitivities","Genetic factors, Brain development differences, Environmental influences during pregnancy","Behavioral therapy, Speech and occupational therapy, Social skills training, Educational support","No specific cure; medications for associated symptoms (e.g., Risperidone for irritability)"
ADHD (Attention Deficit Hyperactivity Disorder),"A neurodevelopmental disorder marked by persistent inattention, hyperactivity, and impulsivity affecting functioning.","Inattention, Impulsivity, Hyperactivity, Poor organization, Forgetfulness","Genetic factors, Dopamine imbalance, Brain structural differences, Environmental risks","Behavioral therapy, Classroom modifications, Parent training, Structured routines","Stimulants (Methylphenidate, Amphetamine), Non-stimulants (Atomoxetine, Guanfacine)"
Cataract,"A clouding of the normally clear lens of the eye, leading to blurred vision and glare sensitivity.","Blurred vision, Glare, Faded colors, Poor night vision, Frequent prescription changes","Aging (most common), Diabetes, Prolonged steroid use, Eye injury, UV exposure","Surgical removal of the cloudy lens and replacement with an artificial lens","No medication reverses cataract; only surgery is definitive treatment"
Glaucoma,"A group of eye conditions that damage the optic nerve, often due to high intraocular pressure, leading to vision loss.","Loss of peripheral vision, Eye pain (in acute cases), Blurred vision, Halos around lights","Increased intraocular pressure, Family history, Age, Diabetes, Eye injury","Lower intraocular pressure through eye drops, Laser or surgical therapy if needed","Prostaglandin analogs (Latanoprost), Beta blockers (Timolol), Carbonic anhydrase inhibitors"
Conjunctivitis (Pink Eye),"Inflammation of the conjunctiva causing redness and discharge; can be viral, bacterial, or allergic.","Red eyes, Itching, Tearing, Discharge, Burning sensation, Swollen eyelids","Viral/bacterial infection, Allergens, Irritants (smoke, dust), Contact lens overuse","Hygiene (avoid touching eyes), Cold compresses, Treat cause (antibiotic if bacterial)","Antibiotic drops (Ciprofloxacin, Erythromycin) if bacterial; Antihistamine drops if allergic"
Dry Eye Syndrome,"A condition where the eyes do not produce enough tears or tears evaporate too quickly, causing discomfort.","Eye dryness, Burning, Gritty sensation, Redness, Blurred vision","Aging, Prolonged screen use, Hormonal changes, Contact lenses, Medications","Artificial tears, Avoid screen strain, Humidifier use, Punctal plugs for severe cases","Artificial tear drops, Cyclosporine ophthalmic (Restasis)"
Sinus Headache,"Pain and pressure around the sinuses, often due to sinus infection or inflammation.","Facial pain, Pressure around eyes/forehead, Nasal congestion, Fatigue, Worsens on bending forward","Sinus infection, Allergies, Nasal polyps, Cold, Deviated septum","Treat underlying sinusitis/allergy, Steam inhalation, Nasal irrigation, Pain relief","Decongestants (Pseudoephedrine), Antihistamines, Nasal corticosteroids, Analgesics (Ibuprofen)"
Hernia,"A protrusion of an organ or tissue through a weak spot in the surrounding muscle or tissue wall.","Visible lump, Pain or discomfort when lifting, Swelling, Pressure sensation, Possible intestinal obstruction","Increased abdominal pressure (heavy lifting, chronic cough), Weak muscles, Obesity, Pregnancy","Surgical repair (herniorrhaphy or mesh repair), Lifestyle modification to reduce strain","Pain relief (NSAIDs) for symptom control pre-surgery"
Varicose Veins,"Swollen, twisted veins usually in the legs caused by valve weakness and poor circulation.","Visible bulging veins, Leg pain or heaviness, Swelling, Skin discoloration, Itching","Weak vein valves, Genetic predisposition, Prolonged standing, Obesity, Pregnancy","Compression stockings, Elevate legs, Exercise, Sclerotherapy or laser ablation in severe cases","No specific medication; pain relief with NSAIDs, topical agents for inflammation"
